"","Scientific_Name","Common_Name","Class","PresentInLPI","PresentInRL","Population_Trend","IUCN_Category","IUCN_Criteria","Generation_Length_Days","Generation_Length_Years","PercentDecrease10YMin","PercentDecreaseMin","PercentDecrease3GMin","PercentDecrease10YMid","PercentDecreaseMid","PercentDecrease3GMid","PercentDecrease10YMax","PercentDecreaseMax","PercentDecrease3GMax"
"1","Acerodon celebensis","Sulawesi Fruit Bat","mammalia",FALSE,TRUE,"Decreasing","VU","A2d",1642.5,4.49691991786448,3.50389048801824,2.60920260091243,2.60920260091243,4.90109037786124,3.65644693521234,3.65644693521234,6.51175273797047,4.86864230743805,4.86864230743805
"2","Acerodon jubatus","Golden-capped Fruit Bat","mammalia",FALSE,TRUE,"Decreasing","EN","A2cd",3650,9.99315537303217,6.69670084631926,2.28554952716388,2.28554952716388,9.8381456326306,3.39550312400438,3.39550312400438,14.449622653224,5.07254548928852,5.07254548928852
"3","Acinonyx jubatus","Cheetah","mammalia",TRUE,TRUE,"Decreasing","VU","A2acd; C1",2190,5.9958932238193,3.50389048801824,1.96335481659702,1.96335481659702,4.90109037786124,2.75506418670095,2.75506418670095,6.51175273797047,3.6741674786795,3.6741674786795
"4","Addax nasomaculatus","Addax","mammalia",TRUE,TRUE,"Decreasing","CR","A2cd; C2a(ii); D",2555,6.99520876112252,14.8660077479215,7.38252930088964,7.38252930088964,20.1786754970349,10.1831040360979,10.1831040360979,36.9042655519807,19.703489327801,19.703489327801
"5","Ailurus fulgens","Red Panda","mammalia",FALSE,TRUE,"Decreasing","EN","A2cde+3cde+4cde",3650,9.99315537303217,6.69670084631926,2.28554952716388,2.28554952716388,9.8381456326306,3.39550312400438,3.39550312400438,14.449622653224,5.07254548928852,5.07254548928852
"6","Allocebus trichotis","Hairy-eared Dwarf Lemur","mammalia",FALSE,TRUE,"Decreasing","VU","A2c+3c+4c",2053.5145,5.62221629021218,3.50389048801824,2.09247332188129,2.09247332188129,4.90109037786124,2.93546425288249,2.93546425288249,6.51175273797047,3.91352857643599,3.91352857643599
"7","Alouatta discolor","Spix's Red-handed Howler Monkey","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",4015,10.9924709103354,3.50389048801824,1.07574548459258,1.07574548459258,4.90109037786124,1.51229970208653,1.51229970208653,6.51175273797047,2.02113129281826,2.02113129281826
"8","Amorphochilus schnablii","Smoky Bat","mammalia",FALSE,TRUE,"Stable","VU","A2c",2070.531028,5.66880500479124,3.50389048801824,2.07545617190822,2.07545617190822,4.90109037786124,2.9116940217106,2.9116940217106,6.51175273797047,3.881998048036,3.881998048036
"9","Antechinus bellus","Fawn Antechinus","mammalia",TRUE,TRUE,"Decreasing","VU","A2be",622.1218,1.70327665982204,3.50389048801824,3.50389048801824,6.74212908176289,4.90109037786124,4.90109037786124,9.3663941103544,6.51175273797047,6.51175273797047,12.3461241256045
"10","Aotus brumbacki","Brumback's Night Monkey","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",2920,7.99452429842574,3.50389048801824,1.47615984620982,1.47615984620982,4.90109037786124,2.0734970965063,2.0734970965063,6.51175273797047,2.76847924676236,2.76847924676236
"11","Aotus griseimembra","Grey-handed Night Monkey","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",2920,7.99452429842574,3.50389048801824,1.47615984620982,1.47615984620982,4.90109037786124,2.0734970965063,2.0734970965063,6.51175273797047,2.76847924676236,2.76847924676236
"12","Aotus lemurinus","Colombian Night Monkey","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",2920,7.99452429842574,3.50389048801824,1.47615984620982,1.47615984620982,4.90109037786124,2.0734970965063,2.0734970965063,6.51175273797047,2.76847924676236,2.76847924676236
"13","Aotus nancymaae","Nancy Ma’s Night Monkey","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd+3cd+4cd",3047.8376,8.34452457221081,3.50389048801824,1.41468431438072,1.41468431438072,4.90109037786124,1.98739707721086,1.98739707721086,6.51175273797047,2.65391395440302,2.65391395440302
"14","Arctictis binturong","Binturong","mammalia",TRUE,TRUE,"Decreasing","VU","A2cd+3cd+4cd",3650,9.99315537303217,3.50389048801824,1.18268149284166,1.18268149284166,4.90109037786124,1.66226604635902,1.66226604635902,6.51175273797047,2.22098393248984,2.22098393248984
"15","Arctocephalus galapagoensis","Galápagos Fur Seal","mammalia",FALSE,TRUE,"Decreasing","EN","A2ab",3650,9.99315537303217,6.69670084631926,2.28554952716388,2.28554952716388,9.8381456326306,3.39550312400438,3.39550312400438,14.449622653224,5.07254548928852,5.07254548928852
"16","Arctonyx collaris","Greater Hog Badger","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd+3cd+4cd",1798.679445,4.92451593429158,3.50389048801824,2.38537027445664,2.38537027445664,4.90109037786124,3.34432942857029,3.34432942857029,6.51175273797047,4.45546528756578,4.45546528756578
"17","Arvicola sapidus","Southern Water Vole","mammalia",TRUE,TRUE,"Decreasing","VU","A2ace+4ace",656.0875,1.79626967830253,3.50389048801824,3.50389048801824,6.40451901936392,4.90109037786124,4.90109037786124,8.90377145292874,6.51175273797047,6.51175273797047,11.7461078297212
"18","Ateles chamek","Black-faced Black Spider Monkey","mammalia",TRUE,TRUE,"Decreasing","EN","A2cd",5475,14.9897330595483,6.69670084631926,1.52956359339727,1.52956359339727,9.8381456326306,2.27667648263158,2.27667648263158,14.449622653224,3.41095096512041,3.41095096512041
"19","Ateles fusciceps","Brown-headed Spider Monkey","mammalia",FALSE,TRUE,"Decreasing","CR","A2cd",5475,14.9897330595483,14.8660077479215,3.51569021022349,3.51569021022349,20.1786754970349,4.88834189436657,4.88834189436657,36.9042655519807,9.73380953754651,9.73380953754651
"20","Ateles geoffroyi","Geoffroy’s Spider Monkey","mammalia",TRUE,TRUE,"Decreasing","EN","A2c",5475,14.9897330595483,6.69670084631926,1.52956359339727,1.52956359339727,9.8381456326306,2.27667648263158,2.27667648263158,14.449622653224,3.41095096512041,3.41095096512041
"21","Ateles hybridus","Variegated Spider Monkey","mammalia",FALSE,TRUE,"Decreasing","CR","A2cd+3cd",5475,14.9897330595483,14.8660077479215,3.51569021022349,3.51569021022349,20.1786754970349,4.88834189436657,4.88834189436657,36.9042655519807,9.73380953754651,9.73380953754651
"22","Axis porcinus","Hog Deer","mammalia",TRUE,TRUE,"Decreasing","EN","A2bcd",2555,6.99520876112252,6.69670084631926,3.24900947423726,3.24900947423726,9.8381456326306,4.81519317103433,4.81519317103433,14.449622653224,7.16694942778309,7.16694942778309
"23","Babyrousa celebensis","Sulawesi Babirusa","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd; C1",2190,5.9958932238193,3.50389048801824,1.96335481659702,1.96335481659702,4.90109037786124,2.75506418670095,2.75506418670095,6.51175273797047,3.6741674786795,3.6741674786795
"24","Balantiopteryx io","Thomas's Sac-winged Bat","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",894.25,2.44832306639288,3.50389048801824,3.50389048801824,4.74002385805866,4.90109037786124,4.90109037786124,6.61298027302462,6.51175273797047,6.51175273797047,8.75976851277533
"25","Beatragus hunteri","Hirola","mammalia",TRUE,TRUE,"Decreasing","CR","A2acd",2253.9745,6.17104585900068,14.8660077479215,8.32632340984488,8.32632340984488,20.1786754970349,11.4621728913813,11.4621728913813,36.9042655519807,22.0226253500883,22.0226253500883
"26","Bettongia penicillata","Woylie","mammalia",TRUE,TRUE,"Decreasing","CR","A2ce",1517.6945,4.15522108145106,14.8660077479215,12.1122443490455,12.1122443490455,20.1786754970349,16.539793935268,16.539793935268,36.9042655519807,30.8870741555199,30.8870741555199
"27","Bos gaurus","Gaur","mammalia",TRUE,TRUE,"Decreasing","VU","A2cd+3cd+4cd",3285,8.99383983572895,3.50389048801824,1.3132240879825,1.3132240879825,4.90109037786124,1.84524817168165,1.84524817168165,6.51175273797047,2.46469475489302,2.46469475489302
"28","Bos sauveli","Kouprey","mammalia",FALSE,TRUE,"Decreasing","CR","A2d; C1+2a(i); D",3285,8.99383983572895,14.8660077479215,5.79054515374959,5.79054515374959,20.1786754970349,8.01374848378401,8.01374848378401,36.9042655519807,15.690756921472,15.690756921472
"29","Brachyteles arachnoides","Southern Muriqui","mammalia",TRUE,TRUE,"Decreasing","CR","A2cd",7300,19.9863107460643,14.8660077479215,2.6485284089205,2.6485284089205,20.1786754970349,3.68912806801446,3.68912806801446,36.9042655519807,7.39299570567395,7.39299570567395
"30","Brachyteles hypoxanthus","Northern Muriqui","mammalia",TRUE,TRUE,"Decreasing","CR","A2cd",7300,19.9863107460643,14.8660077479215,2.6485284089205,2.6485284089205,20.1786754970349,3.68912806801446,3.68912806801446,36.9042655519807,7.39299570567395,7.39299570567395
"31","Bubalus arnee","Wild Water Buffalo","mammalia",TRUE,TRUE,"Decreasing","EN","A2de+3de; C1",3285,8.99383983572895,6.69670084631926,2.53625287049356,2.53625287049356,9.8381456326306,3.76559153685522,3.76559153685522,14.449622653224,5.62003388399601,5.62003388399601
"32","Budorcas taxicolor","Takin","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd",2920,7.99452429842574,3.50389048801824,1.47615984620982,1.47615984620982,4.90109037786124,2.0734970965063,2.0734970965063,6.51175273797047,2.76847924676236,2.76847924676236
"33","Cacajao calvus","Bald-headed Uacari","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd",3650,9.99315537303217,3.50389048801824,1.18268149284166,1.18268149284166,4.90109037786124,1.66226604635902,1.66226604635902,6.51175273797047,2.22098393248984,2.22098393248984
"34","Cacajao hosomi","Black-headed Uacari","mammalia",FALSE,TRUE,"Decreasing","VU","A2d",3650,9.99315537303217,3.50389048801824,1.18268149284166,1.18268149284166,4.90109037786124,1.66226604635902,1.66226604635902,6.51175273797047,2.22098393248984,2.22098393248984
"35","Caenolestes convelatus","Blackish Shrew Opossum","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",998.6765636,2.73422741574264,3.50389048801824,3.50389048801824,4.25509023276229,4.90109037786124,4.90109037786124,5.94248405562944,6.51175273797047,6.51175273797047,7.88094210815928
"36","Callicebus melanochir","Black-handed Titi","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",2920,7.99452429842574,3.50389048801824,1.47615984620982,1.47615984620982,4.90109037786124,2.0734970965063,2.0734970965063,6.51175273797047,2.76847924676236,2.76847924676236
"37","Callicebus personatus","Atlantic Titi","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",2920,7.99452429842574,3.50389048801824,1.47615984620982,1.47615984620982,4.90109037786124,2.0734970965063,2.0734970965063,6.51175273797047,2.76847924676236,2.76847924676236
"38","Callithrix aurita","Buffy-tufted-ear Marmoset","mammalia",FALSE,TRUE,"Decreasing","EN","A2cde",2110.588375,5.77847604380561,6.69670084631926,3.91955994615966,3.91955994615966,9.8381456326306,5.79916089674666,5.79916089674666,14.449622653224,8.60930244950802,8.60930244950802
"39","Callorhinus ursinus","Northern Fur Seal","mammalia",TRUE,TRUE,"Decreasing","VU","A2b",4745,12.9911019849418,3.50389048801824,0.911002539455408,0.911002539455408,4.90109037786124,1.28113555189598,1.28113555189598,6.51175273797047,1.71286777101431,1.71286777101431
"40","Capra aegagrus","Wild Goat","mammalia",TRUE,TRUE,"Decreasing","VU","A2cd",2097.005,5.74128678986995,3.50389048801824,2.0495246192163,2.0495246192163,4.90109037786124,2.8754685503937,2.8754685503937,6.51175273797047,3.83394095481298,3.83394095481298
"41","Capra caucasica","Western Tur","mammalia",TRUE,TRUE,"Decreasing","EN","A2ad",2555,6.99520876112252,6.69670084631926,3.24900947423726,3.24900947423726,9.8381456326306,4.81519317103433,4.81519317103433,14.449622653224,7.16694942778309,7.16694942778309
"42","Capricornis sumatraensis","Sumatran Serow","mammalia",TRUE,TRUE,"Decreasing","VU","A2cd",2555,6.99520876112252,3.50389048801824,1.68525345545091,1.68525345545091,4.90109037786124,2.3661802660969,2.3661802660969,6.51175273797047,3.15766942918758,3.15766942918758
"43","Caracal aurata","African Golden Cat","mammalia",FALSE,TRUE,"Decreasing","VU","A2c+3c",1825,4.99657768651609,3.50389048801824,2.35137563054822,2.35137563054822,4.90109037786124,3.29690080862926,3.29690080862926,6.51175273797047,4.39264016869589,4.39264016869589
"44","Cebus kaapori","Ka’apor Capuchin","mammalia",FALSE,TRUE,"Decreasing","CR","A2acd+3cd+4acd",5840,15.9890485968515,14.8660077479215,3.29962661194019,3.29962661194019,20.1786754970349,4.58994562664677,4.58994562664677,36.9042655519807,9.15421238430074,9.15421238430074
"45","Cercocebus torquatus","Red-capped Mangabey","mammalia",FALSE,TRUE,"Decreasing","EN","A2abcd+4abcd",3285,8.99383983572895,6.69670084631926,2.53625287049356,2.53625287049356,9.8381456326306,3.76559153685522,3.76559153685522,14.449622653224,5.62003388399601,5.62003388399601
"46","Cercopithecus diana","Diana Monkey","mammalia",FALSE,TRUE,"Decreasing","EN","A2cd",3285,8.99383983572895,6.69670084631926,2.53625287049356,2.53625287049356,9.8381456326306,3.76559153685522,3.76559153685522,14.449622653224,5.62003388399601,5.62003388399601
"47","Cercopithecus erythrogaster","Red-bellied Monkey","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd",3285,8.99383983572895,3.50389048801824,1.3132240879825,1.3132240879825,4.90109037786124,1.84524817168165,1.84524817168165,6.51175273797047,2.46469475489302,2.46469475489302
"48","Cercopithecus erythrotis","Red-eared Monkey","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd",3285,8.99383983572895,3.50389048801824,1.3132240879825,1.3132240879825,4.90109037786124,1.84524817168165,1.84524817168165,6.51175273797047,2.46469475489302,2.46469475489302
"49","Cercopithecus sclateri","Sclater's Monkey","mammalia",FALSE,TRUE,"Decreasing","EN","A2cd",3285,8.99383983572895,6.69670084631926,2.53625287049356,2.53625287049356,9.8381456326306,3.76559153685522,3.76559153685522,14.449622653224,5.62003388399601,5.62003388399601
"50","Chalinolobus tuberculatus","New Zealand Long-tailed Bat","mammalia",TRUE,TRUE,"Decreasing","VU","A2ace",2051.666208,5.61715594250513,3.50389048801824,2.09433849702386,2.09433849702386,4.90109037786124,2.93806950089742,2.93806950089742,6.51175273797047,3.91698420345797,3.91698420345797
"51","Chilonatalus micropus","Cuban Lesser Funnel-eared Bat","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",2070.531028,5.66880500479124,3.50389048801824,2.07545617190822,2.07545617190822,4.90109037786124,2.9116940217106,2.9116940217106,6.51175273797047,3.881998048036,3.881998048036
"52","Chiropotes satanas","Black Bearded Saki","mammalia",FALSE,TRUE,"Decreasing","CR","A2c+3c",3650,9.99315537303217,14.8660077479215,5.22690979051242,5.22690979051242,20.1786754970349,7.24215947700678,7.24215947700678,36.9042655519807,14.2394275563068,14.2394275563068
"53","Chrotogale owstoni","Owston's Civet","mammalia",FALSE,TRUE,"Decreasing","EN","A2bcd+3bcd+4cd",1825,4.99657768651609,6.69670084631926,4.51886168791656,4.51886168791656,9.8381456326306,6.67571183335754,6.67571183335754,14.449622653224,9.88778380116803,9.88778380116803
"54","Colobus polykomos","King Colobus","mammalia",FALSE,TRUE,"Unknown","VU","A2cd",3650,9.99315537303217,3.50389048801824,1.18268149284166,1.18268149284166,4.90109037786124,1.66226604635902,1.66226604635902,6.51175273797047,2.22098393248984,2.22098393248984
"55","Colobus satanas","Black Colobus","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd",3650,9.99315537303217,3.50389048801824,1.18268149284166,1.18268149284166,4.90109037786124,1.66226604635902,1.66226604635902,6.51175273797047,2.22098393248984,2.22098393248984
"56","Colobus vellerosus","White-thighed Colobus","mammalia",TRUE,TRUE,"Decreasing","CR","A2cd",3650,9.99315537303217,14.8660077479215,5.22690979051242,5.22690979051242,20.1786754970349,7.24215947700678,7.24215947700678,36.9042655519807,14.2394275563068,14.2394275563068
"57","Conilurus penicillatus","Brush-tailed Rabbit-rat","mammalia",TRUE,TRUE,"Decreasing","VU","A2abce+3bce+4abce",639.6318318,1.75121651416838,3.50389048801824,3.50389048801824,6.5637583834512,4.90109037786124,4.90109037786124,9.12206024861775,6.51175273797047,6.51175273797047,12.0293552866995
"58","Cryptoprocta ferox","Fossa","mammalia",TRUE,TRUE,"Decreasing","VU","A2cde+3cde+4cde",2555,6.99520876112252,3.50389048801824,1.68525345545091,1.68525345545091,4.90109037786124,2.3661802660969,2.3661802660969,6.51175273797047,3.15766942918758,3.15766942918758
"59","Dasyprocta mexicana","Mexican Agouti","mammalia",FALSE,TRUE,"Decreasing","CR","A2c",1891.0246,5.17734318959617,14.8660077479215,9.84326947947187,9.84326947947187,20.1786754970349,13.5069630851385,13.5069630851385,36.9042655519807,25.6580707292852,25.6580707292852
"60","Dasyurus hallucatus","Northern Quoll","mammalia",TRUE,TRUE,"Decreasing","EN","A2ce+3ce+4ce",731.3936,2.00244654346338,6.69670084631926,6.69670084631926,10.8975526877854,9.8381456326306,9.8381456326306,15.8353647502222,14.449622653224,14.449622653224,22.8786602901412
"61","Dasyurus viverrinus","Eastern Quoll","mammalia",FALSE,TRUE,"Decreasing","EN","A2b",1010.0935,2.76548528405202,6.69670084631926,6.69670084631926,8.01525001537727,9.8381456326306,9.8381456326306,11.7352092637119,14.449622653224,14.449622653224,17.1476578969261
"62","Daubentonia madagascariensis","Aye-aye","mammalia",FALSE,TRUE,"Decreasing","EN","A2cd+4cd",2920,7.99452429842574,6.69670084631926,2.84872771102431,2.84872771102431,9.8381456326306,4.22620891478137,4.22620891478137,14.449622653224,6.29995612976448,6.29995612976448
"63","Dendrolagus goodfellowi","Goodfellow's Tree Kangaroo","mammalia",FALSE,TRUE,"Decreasing","EN","A2cd",3650,9.99315537303217,6.69670084631926,2.28554952716388,2.28554952716388,9.8381456326306,3.39550312400438,3.39550312400438,14.449622653224,5.07254548928852,5.07254548928852
"64","Dendrolagus mbaiso","Dingiso","mammalia",FALSE,TRUE,"Decreasing","EN","A2cd",3650,9.99315537303217,6.69670084631926,2.28554952716388,2.28554952716388,9.8381456326306,3.39550312400438,3.39550312400438,14.449622653224,5.07254548928852,5.07254548928852
"65","Dendrolagus notatus",NA,"mammalia",FALSE,TRUE,"Decreasing","EN","A2cd",3650,9.99315537303217,6.69670084631926,2.28554952716388,2.28554952716388,9.8381456326306,3.39550312400438,3.39550312400438,14.449622653224,5.07254548928852,5.07254548928852
"66","Dendrolagus scottae","Tenkile","mammalia",FALSE,TRUE,"Stable","CR","A2d",3650,9.99315537303217,14.8660077479215,5.22690979051242,5.22690979051242,20.1786754970349,7.24215947700678,7.24215947700678,36.9042655519807,14.2394275563068,14.2394275563068
"67","Dendrolagus spadix","Lowlands Tree Kangaroo","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd",3618.937877,9.90811191512663,3.50389048801824,1.19277192123144,1.19277192123144,4.90109037786124,1.67641337079424,1.67641337079424,6.51175273797047,2.23983201895913,2.23983201895913
"68","Dendrolagus stellarum","Seri’s Tree Kangaroo","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd",3650,9.99315537303217,3.50389048801824,1.18268149284166,1.18268149284166,4.90109037786124,1.66226604635902,1.66226604635902,6.51175273797047,2.22098393248984,2.22098393248984
"69","Dendrolagus ursinus","Vogelkop Tree Kangaroo","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd",3650,9.99315537303217,3.50389048801824,1.18268149284166,1.18268149284166,4.90109037786124,1.66226604635902,1.66226604635902,6.51175273797047,2.22098393248984,2.22098393248984
"70","Desmana moschata","Russian Desman","mammalia",TRUE,TRUE,"Decreasing","EN","A2ac",759.1857214,2.07853722491444,6.69670084631926,6.69670084631926,10.5203940029259,9.8381456326306,9.8381456326306,15.3025208112054,14.449622653224,14.449622653224,22.1417108069493
"71","Dicerorhinus sumatrensis","Sumatran Rhinoceros","mammalia",TRUE,TRUE,"Decreasing","CR","A2abd; C1+2a(i)",7300,19.9863107460643,14.8660077479215,2.6485284089205,2.6485284089205,20.1786754970349,3.68912806801446,3.68912806801446,36.9042655519807,7.39299570567395,7.39299570567395
"72","Diceros bicornis","Black Rhino","mammalia",TRUE,TRUE,"Increasing","CR","A2abd+4abd",6205,16.9883641341547,14.8660077479215,3.1085804865435,3.1085804865435,20.1786754970349,4.32587745858188,4.32587745858188,36.9042655519807,8.63971332269534,8.63971332269534
"73","Dobsonia chapmani","Philippine Bare-backed Fruit Bat","mammalia",FALSE,TRUE,"Decreasing","CR","A2cd",2190,5.9958932238193,14.8660077479215,8.55883804493366,8.55883804493366,20.1786754970349,11.776479855602,11.776479855602,36.9042655519807,22.5871983362855,22.5871983362855
"74","Dugong dugon","Dugong","mammalia",TRUE,TRUE,"Decreasing","VU","A2bcd+4bcd",10246.2396,28.0526751540041,3.50389048801824,0.422918891422419,0.422918891422419,4.90109037786124,0.595343639257095,0.595343639257095,6.51175273797047,0.796903230133739,0.796903230133739
"75","Eidolon dupreanum","Madagascan Fruit Bat","mammalia",FALSE,TRUE,"Decreasing","VU","A2ad",2190,5.9958932238193,3.50389048801824,1.96335481659702,1.96335481659702,4.90109037786124,2.75506418670095,2.75506418670095,6.51175273797047,3.6741674786795,3.6741674786795
